# language_name_wals:	Jakaltek
# language_name_glotto:	Popti'
# iso639_3:	jac
# year_composed:	NA
# year_published:	1997
# mode:	written
# genre_broad:	non-fiction
# genre_narrow:	religion
# writing_system:	Latn
# special_characters:	NA
# short_description:	The New Testament in Eastern Jacalteco. Text of the Parallel Bible Corpus: Mayer, Thomas & Michael Cysouw. 2014. Creating a Massively Parallel Bible Corpus. Proceedings of the International Conference on Language Resources and Evaluation (LREC), Reykjavik, 3158-3163.
# source:	http://www.bible.is/JACWBT/Matt/1
# copyright_short:	© Wycliffe Bible Translators1997
# copyright_long:	NA
# sample_type:	whole
# comments:	The first two digits of the identifier refer to the book, the next three digits to the chapter, and the last three digits to the verse. See Mayer & Cysouw (2014) for a list of book identifiers.

40004025	Caw hantan̈e anma oc tzujno yinta Comam ; ay anma ah Galilea , ay anma ah Dec'apolis , ay anma ah Jerusal'en yeb anma ah Judea , yebpaxo anma ay isk'axepic'to ha' niman Jord'an .
40005001	Hayet yilni Comam Jes'us tato caw hantan̈e anma apni isc'atan̈ , yahto Comam yin̈ istzalanil hune' won̈an , yay tz'on̈no Comam , ishitzico ebnaj iscuywom Comam isc'atan̈ .
40005002	Yoc Comam iscuyno ebnaj iscuywom tu' , yichico Comam yalni haca' ti' :
40005003	-- Sak'al yet mac chitxumchalo yu ta mach chu iscolni isba ischuquil , yuxin yin̈n̈e Comam chicawxi isc'ul . Hune' mac tu' yet ay yoc yul isk'ab Comam Dios .
40005004	Sak'al yet mac chiyik' bisc'ulal yu istx'ojal chiswatx'e , yuto chiak'lax yak'lobal isc'ul yu Comam Dios .
40005005	Sak'al yet mac chewchotan̈e chute isba yuto chischah hune' tx'otx' haltebilcano yu Comam Dios .
40005006	Sak'al yet mac choche isc'ul iswatx'e' tzet chal Comam Dios yuto chij isba tzet choche .
40005007	Sak'al yet mac chitz'ay isc'ul yin̈ yet anmahil , yuto hac tu' chu istz'aypaxo isc'ul Comam Dios yin̈ .
40005008	Sak'al yet mac sajxa ye yanma yul sat Comam Dios , yuto ha' anma tu' chiapni isc'atan̈ Comam .
40005009	Sak'al yet mac chisayni ak'anc'ulal yuto chal Comam Dios yuninaloj .
40005010	Sak'al yet mac caj chiillaxi yu chiswatx'e istoholal haca' choche Comam , yuto ayxaco yul isk'ab Comam Dios ay yul satcan̈ .
40005011	Sak'al heyet yet chexbahlaxi yeb yet chexetalaxi , cat ishoblaxcan̈ lek'ti'al teyin̈ yuto tzujanex wintajan .
40005012	Caw ak'we tzalaho heyanma ta hac tu' chexutelaxi yuto ch'ak'lax ispaj selel teyet bey satcan̈ . Yuto haca' heyilni isya'tajil ti' , hac tu' yu yec'ya' yanma ebnaj ischejab Comam Dios ec'lena yet payat , ẍi Comam .
40005013	Yalnipaxo Comam Jes'us : -- Hex ti' , haca' atz'am atz'am , hac tu' heye yul sat yiban̈k'inal ti' . K'inalo ta chiel isc'achi'al atz'am matxa chu yoc isc'achi'al atz'am hunelxa , hac' tu' xin matxa tzet ch'ocnico atz'am , to chitirlaxtoj cat isxan̈laxic'o yu anma , ẍi Comam .
40005014	Yalnipaxo Comam Jes'us : -- Hex ti' haca'paxo sajilk'inal heye yul sat yiban̈k'inal ti' . K'inalo ta ay hunu con̈ob yin̈ iswi' hunu witz , caw haban jilnilto nahat .
40005015	Yet chicotzujbanico k'a' yin̈ hunu cantil , mach chicon̈ohbaco hunu almuh yiban̈ , wal xin chicot'un̈bacan̈ yun̈e ismujli yin̈ anma ayicto yul n̈a tu' .
40005016	Hacojab tu' xin istzejla hune' sajilk'inal ayxaco teyin̈ yin̈ sat anma , haxinwal chil anma isc'ulal chewatx'e . Hac tu' xin c'ul istzotel anma yin̈ Comam ay yul satcan̈ , ẍi Comam .
40005017	Yalnipaxo Comam Jes'us haca' ti' : -- Tajca chetxumu ta yu intan̈tzenilojan isley naj Mois'es yeb cuybanile aycano yu ebnaj ischejab Comam Dios yuxin quinhulan , machoj , walxinto yun̈e wak'nihan ohtan̈elaxilo yin̈ tzet chaliloj yuxin quinhulan .
40005018	Yin̈ caw yeli chiwalan teyet ta caw yilal yijni isba sunil tzet tz'ibn̈ebilcano yul Yum Comam Dios . Yulbal yul sat yiban̈k'inal ti' yeb satcan̈ , machi hun tx'inano ayayo yin̈ ley mach ch'ec'to yet yijni isba .
