"Grapheme","Frequency","Codepoint","UnicodeName"
"ညီ",1211,"U+100A, U+102E","MYANMAR LETTER NNYA, MYANMAR VOWEL SIGN II"
"ပူ",1204,"U+1015, U+1030","MYANMAR LETTER PA, MYANMAR VOWEL SIGN UU"
"ဦ",1199,"U+1026","MYANMAR LETTER UU"
"လျှေ",1159,"U+101C, U+103B, U+103E, U+1031","MYANMAR LETTER LA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR CONSONANT SIGN MEDIAL HA, MYANMAR VOWEL SIGN E"
"သံ",1121,"U+101E, U+1036","MYANMAR LETTER SA, MYANMAR SIGN ANUSVARA"
"ဖြေ",1078,"U+1016, U+103C, U+1031","MYANMAR LETTER PHA, MYANMAR CONSONANT SIGN MEDIAL RA, MYANMAR VOWEL SIGN E"
"စု",1076,"U+1005, U+102F","MYANMAR LETTER CA, MYANMAR VOWEL SIGN U"
"ဂု",1067,"U+1002, U+102F","MYANMAR LETTER GA, MYANMAR VOWEL SIGN U"
"ချီ",1066,"U+1001, U+103B, U+102E","MYANMAR LETTER KHA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR VOWEL SIGN II"
"က္",1052,"U+1000, U+1039","MYANMAR LETTER KA, MYANMAR SIGN VIRAMA"
"သို",1038,"U+101E, U+102D, U+102F","MYANMAR LETTER SA, MYANMAR VOWEL SIGN I, MYANMAR VOWEL SIGN U"
"ဆုံ",1037,"U+1006, U+102F, U+1036","MYANMAR LETTER CHA, MYANMAR VOWEL SIGN U, MYANMAR SIGN ANUSVARA"
"ဖျ",989,"U+1016, U+103B","MYANMAR LETTER PHA, MYANMAR CONSONANT SIGN MEDIAL YA"
"သုံ",987,"U+101E, U+102F, U+1036","MYANMAR LETTER SA, MYANMAR VOWEL SIGN U, MYANMAR SIGN ANUSVARA"
"ဘွ",982,"U+1018, U+103D","MYANMAR LETTER BHA, MYANMAR CONSONANT SIGN MEDIAL WA"
"သူ့",960,"U+101E, U+1030, U+1037","MYANMAR LETTER SA, MYANMAR VOWEL SIGN UU, MYANMAR SIGN DOT BELOW"
"စို",956,"U+1005, U+102D, U+102F","MYANMAR LETTER CA, MYANMAR VOWEL SIGN I, MYANMAR VOWEL SIGN U"
"ရွ",956,"U+101B, U+103D","MYANMAR LETTER RA, MYANMAR CONSONANT SIGN MEDIAL WA"
"အု",919,"U+1021, U+102F","MYANMAR LETTER A, MYANMAR VOWEL SIGN U"
"မှီ",914,"U+1019, U+103E, U+102E","MYANMAR LETTER MA, MYANMAR CONSONANT SIGN MEDIAL HA, MYANMAR VOWEL SIGN II"
"ဒု",909,"U+1012, U+102F","MYANMAR LETTER DA, MYANMAR VOWEL SIGN U"
"နွ",903,"U+1014, U+103D","MYANMAR LETTER NA, MYANMAR CONSONANT SIGN MEDIAL WA"
"ဗေ",903,"U+1017, U+1031","MYANMAR LETTER BA, MYANMAR VOWEL SIGN E"
"ဏ်",886,"U+100F, U+103A","MYANMAR LETTER NNA, MYANMAR SIGN ASAT"
"ခဲ့",882,"U+1001, U+1032, U+1037","MYANMAR LETTER KHA, MYANMAR VOWEL SIGN AI, MYANMAR SIGN DOT BELOW"
"ကြံ",871,"U+1000, U+103C, U+1036","MYANMAR LETTER KA, MYANMAR CONSONANT SIGN MEDIAL RA, MYANMAR SIGN ANUSVARA"
"ချိ",867,"U+1001, U+103B, U+102D","MYANMAR LETTER KHA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR VOWEL SIGN I"
"ပို",866,"U+1015, U+102D, U+102F","MYANMAR LETTER PA, MYANMAR VOWEL SIGN I, MYANMAR VOWEL SIGN U"
"ဇူ",865,"U+1007, U+1030","MYANMAR LETTER JA, MYANMAR VOWEL SIGN UU"
"တွေ့",842,"U+1010, U+103D, U+1031, U+1037","MYANMAR LETTER TA, MYANMAR CONSONANT SIGN MEDIAL WA, MYANMAR VOWEL SIGN E, MYANMAR SIGN DOT BELOW"
"လှ",828,"U+101C, U+103E","MYANMAR LETTER LA, MYANMAR CONSONANT SIGN MEDIAL HA"
"ထု",801,"U+1011, U+102F","MYANMAR LETTER THA, MYANMAR VOWEL SIGN U"
"မွေ",789,"U+1019, U+103D, U+1031","MYANMAR LETTER MA, MYANMAR CONSONANT SIGN MEDIAL WA, MYANMAR VOWEL SIGN E"
"ဏ",786,"U+100F","MYANMAR LETTER NNA"
"ကျိ",774,"U+1000, U+103B, U+102D","MYANMAR LETTER KA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR VOWEL SIGN I"
"မွ",774,"U+1019, U+103D","MYANMAR LETTER MA, MYANMAR CONSONANT SIGN MEDIAL WA"
"အံ့",772,"U+1021, U+1036, U+1037","MYANMAR LETTER A, MYANMAR SIGN ANUSVARA, MYANMAR SIGN DOT BELOW"
"အဲ",772,"U+1021, U+1032","MYANMAR LETTER A, MYANMAR VOWEL SIGN AI"
"မ္",769,"U+1019, U+1039","MYANMAR LETTER MA, MYANMAR SIGN VIRAMA"
"နိ",767,"U+1014, U+102D","MYANMAR LETTER NA, MYANMAR VOWEL SIGN I"
"ဃ်",760,"U+1003, U+103A","MYANMAR LETTER GHA, MYANMAR SIGN ASAT"
"ချို",738,"U+1001, U+103B, U+102D, U+102F","MYANMAR LETTER KHA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR VOWEL SIGN I, MYANMAR VOWEL SIGN U"
"လ္",735,"U+101C, U+1039","MYANMAR LETTER LA, MYANMAR SIGN VIRAMA"
"ငံ",698,"U+1004, U+1036","MYANMAR LETTER NGA, MYANMAR SIGN ANUSVARA"
"ဗိ",693,"U+1017, U+102D","MYANMAR LETTER BA, MYANMAR VOWEL SIGN I"
"ဆု",688,"U+1006, U+102F","MYANMAR LETTER CHA, MYANMAR VOWEL SIGN U"
"ဌ",674,"U+100C","MYANMAR LETTER TTHA"
"ယုံ",669,"U+101A, U+102F, U+1036","MYANMAR LETTER YA, MYANMAR VOWEL SIGN U, MYANMAR SIGN ANUSVARA"
"လျေ",663,"U+101C, U+103B, U+1031","MYANMAR LETTER LA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR VOWEL SIGN E"
"ပွ",658,"U+1015, U+103D","MYANMAR LETTER PA, MYANMAR CONSONANT SIGN MEDIAL WA"
"ဆိ",624,"U+1006, U+102D","MYANMAR LETTER CHA, MYANMAR VOWEL SIGN I"
"က်ျ",622,"U+1000, U+103A, U+103B","MYANMAR LETTER KA, MYANMAR SIGN ASAT, MYANMAR CONSONANT SIGN MEDIAL YA"
"ဒေ",611,"U+1012, U+1031","MYANMAR LETTER DA, MYANMAR VOWEL SIGN E"
"ဩ",606,"U+1029","MYANMAR LETTER O"
"ရှို့",603,"U+101B, U+103E, U+102D, U+102F, U+1037","MYANMAR LETTER RA, MYANMAR CONSONANT SIGN MEDIAL HA, MYANMAR VOWEL SIGN I, MYANMAR VOWEL SIGN U, MYANMAR SIGN DOT BELOW"
"ဆွေ",602,"U+1006, U+103D, U+1031","MYANMAR LETTER CHA, MYANMAR CONSONANT SIGN MEDIAL WA, MYANMAR VOWEL SIGN E"
"ဘို",602,"U+1018, U+102D, U+102F","MYANMAR LETTER BHA, MYANMAR VOWEL SIGN I, MYANMAR VOWEL SIGN U"
"ထိ",599,"U+1011, U+102D","MYANMAR LETTER THA, MYANMAR VOWEL SIGN I"
"ဇိ",598,"U+1007, U+102D","MYANMAR LETTER JA, MYANMAR VOWEL SIGN I"
"လ်",596,"U+101C, U+103A","MYANMAR LETTER LA, MYANMAR SIGN ASAT"
"ဗု",586,"U+1017, U+102F","MYANMAR LETTER BA, MYANMAR VOWEL SIGN U"
"ဗို",583,"U+1017, U+102D, U+102F","MYANMAR LETTER BA, MYANMAR VOWEL SIGN I, MYANMAR VOWEL SIGN U"
"ကျို",580,"U+1000, U+103B, U+102D, U+102F","MYANMAR LETTER KA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR VOWEL SIGN I, MYANMAR VOWEL SIGN U"
"ရွှေ",572,"U+101B, U+103D, U+103E, U+1031","MYANMAR LETTER RA, MYANMAR CONSONANT SIGN MEDIAL WA, MYANMAR CONSONANT SIGN MEDIAL HA, MYANMAR VOWEL SIGN E"
"ငွေ",567,"U+1004, U+103D, U+1031","MYANMAR LETTER NGA, MYANMAR CONSONANT SIGN MEDIAL WA, MYANMAR VOWEL SIGN E"
"ချေ",536,"U+1001, U+103B, U+1031","MYANMAR LETTER KHA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR VOWEL SIGN E"
