# language_name_wals:	Khalkha
# language_name_glotto:	Halh Mongolian
# ISO_6393:	khk
# year_composed:	NA
# year_published:	2004
# mode:	written
# genre_broad:	non-fiction
# genre_narrow:	religion
# writing_system:	Latn
# special_characters:	NA
# short_description:	New Testament Portions in Halh Mongolian. Text of the Parallel Bible Corpus: Mayer, Thomas & Michael Cysouw. 2014. Creating a Massively Parallel Bible Corpus. Proceedings of the International Conference on Language Resources and Evaluation (LREC), Reykjavik, 3158-3163.
# source:	http://www.biblesos.org/mn/Abrahamyn-udam-Davidyn-udam-Yesus-Hristiin-ugiin-bichig/
# copyright_short:	NA
# copyright_long:	NA
# sample_type:	whole
# comments:	The first two digits of the identifier refer to the book, the next three digits to the chapter, and the last three digits to the verse. See Mayer & Cysouw (2014) for a list of book identifiers.

40005025	Zamd hamt yavaa deeree artsaldagchtaigaa ali bolohoor turgen saidah heregtei . Es tegvel artsaldagch hun chini chamaig shuugchid ogch , shuugch tushmeded hurgej , chi shorond hayagdah vii .
40005026	UneneerBi chamd heliye , chi etssiin kodrantyg toltloo tendees garahgui .
40005027	" Zavhairch bolohgui " gesniig ta nar duulsan .
40005028	Harin Bi ta nart heliye , emegtei huniig tachaadan harah hun bur zurhendee tuuntei hediinee zavhairsan hereg yum .
40005029	Herev baruun nud chini chamaig budruulbel , uhaj avaad haya . Uchir ni chinii buten biye tamd hayagdsanaas biyeiin chini neg erhten baihgui baih ni chamd deer .
40005030	Herev baruun gar chini chamaig budruulbel , tastaj haya . Uchir ni chinii buten biye tamd hayagdsanaas biyeiin chini neg erhten baihgui baih ni chamd deer .
40005031	Mon " Hen bolovch ehnereesee salbal salaltyg gerchilsen bichig tuund og " gej helsen baidag .
40005032	Harin Bi ta nart heliye , hen bolovch sadar samuunaas oor shaltgaanaar ehnereesee salbal ehneree zavhairuulj bui hereg bogood hen bolovch salsan emegteitei gerlevel zavhairch bui hereg mon .
40005033	Ertnii humuust " Huuramchaar buu tangaragla , harin EZENd amlasnaa biyeluul " gej helsniig ta nar mon sonsson .
40005034	Harin Bi ta nart heliye . Yuugaar ch buu tangaragla . Tengereer ch bolohgui , uchir ni ene ni Burhany sentii yum .
40005035	Gazraar ch bolohgui , uchir ni ene ni Tuunii holiin gishguur yum . Iyerusalimaar ch bolohgui , uchir ni ene bol aguu ih Haany hot yum .
40005036	Tolgoigooroo ch chi tangaraglaj bolohgui , uchir ni chi shirheg usiig ch tsagaan yumuu har bolgoj ul chadna .
40005037	Harin ug chini " Za , za " esvel " Ugui , ugui " baig . Edgeerees tsaashih ni muugaas gardag hereg yum .
40005038	« Nudiig nudeer , shudiig shudeer » gesniig ta nar duulsan .
40005039	Harin Bi ta nart heliye , har sanaatai huniig buu eserguuts . Harin hen baruun hatsryg chini algadna , tuund nogoo hatsraa bas tavij og .
40005040	Herev hen neg hun chamtai zaaldaj , tsamtsyg chini avahyg husvel deelee bas tuund og .
40005041	Hen neg hun chamaig neg beer gazar yavahyg huchilbel tuuntei hamt hoyor beer yav .
40005042	Chamaas guisan hund og , chamaas zeelehiig hussen hunees buu zailshii .
40005043	" Horshoo hairla , daisnaa uzen yad " gej helsniig ta nar sonsson .
40005044	Harin Bi ta nart heliye . Daisnuudaa hairla , ta naryg havchdag humuusiin toloo zalbir .
40005045	Tegsneeree ta nar tenger deh Etsegiinhee huuhduud bolno . Uchir ni Ter Ooriinhoo naryg horon muu bolood sain humuus deer manduulj , zovt bolood zovt bus humuus deer boroo oruuldag yum .
40005046	Herev ta nar oorsdiig chini hairladag humuusiig hairlaval , ta nart yamar shagnal baih ve ? Tatvar huraagchid ch hurtel uuntei adilyg hiideg bus uu ?
40005047	Herev ta nar zovhon ah duusteigee mendelbel , busdaas iluu yuu hiij baigaa yum be ? Hari undestnuud ch hurtel mon ingedeg bus uu ?
40005048	Tiimees tengerleg Etseg tani togs baidag shig ta nar mon togs bai .
40006001	Ta nar humuust haruulahyn tuld tednii omno zovt baidlaa uildehees seremjlegtun . Es tegvees tenger deh Etsegees tani ta nart shagnal oldohgui .
40006002	Tiimees ta nar oglog ogohdoo , humuuseer hundluulehiin tuld sinagogt ba gudamjind hoyor nuurt humuusiin uilddegtei adil oorsdiin omno buree buu tat . Uneneer Bi ta nart heliye . Ted shagnalaa buren avsan yum .
40006003	Harin ta nar oglog ogohdoo , baruun garynhaa yuu hiij buig zuun gartaa buu medegd .
